2026-09-07 17:36:44,671 | WARNING  | core.event_engine | New WARNING event EVT-DAF381F7EB: TST/sap.sm12.lock_count=20 count
2026-09-07 17:36:44,676 | WARNING  | core.event_engine | New WARNING event EVT-6C79A681CA: TST/sap.st03n.dialog_response_time=700 ms
2026-09-07 17:36:44,677 | WARNING  | core.event_engine | New WARNING event EVT-086DDFC53C: TST/sap.st22.dump_count=2 count
2026-09-07 17:36:44,785 | WARNING  | core.event_engine | New CRITICAL event EVT-1FAD3FAE19: PRD/cpu=95 %
2026-09-07 17:36:44,786 | WARNING  | core.event_engine | New CRITICAL event EVT-961C5C674E: PRD/memory=92 %
2026-09-07 17:36:44,786 | WARNING  | core.event_engine | New CRITICAL event EVT-F0A6C3B127: PRD/load_1m=9 count
2026-09-07 17:36:44,879 | WARNING  | core.event_engine | New CRITICAL event EVT-02535000CB: QAS/sap_process_disp+work=1 state
2026-09-07 17:36:44,969 | WARNING  | core.event_engine | New WARNING event EVT-7697A45C23: DEV/sap.sm12.lock_count=20 count
2026-09-07 17:36:44,970 | WARNING  | core.event_engine | New WARNING event EVT-20F4BB7B5B: DEV/sap.st03n.dialog_response_time=700 ms
2026-09-07 17:36:44,970 | WARNING  | core.event_engine | New WARNING event EVT-A4E8476F24: DEV/sap.st22.dump_count=1 count
2026-09-07 17:36:45,054 | INFO     | core.event_engine | Resolved event EVT-7697A45C23: DEV/sap.sm12.lock_count
2026-09-07 17:36:45,055 | INFO     | core.event_engine | Resolved event EVT-20F4BB7B5B: DEV/sap.st03n.dialog_response_time
2026-09-07 17:36:45,055 | INFO     | core.event_engine | Resolved event EVT-A4E8476F24: DEV/sap.st22.dump_count
2026-09-07 17:40:17,694 | INFO     | core.orchestrator | No SSH access configured for PRD -- skipping Linux/OS-level metrics (SAP GUI evidence only).
2026-09-07 17:40:17,733 | INFO     | core.orchestrator | [PRD] RFC collector: 17 metrics added.
2026-09-07 17:40:22,073 | INFO     | core.orchestrator | [PRD] RFC perf collector: 9 metrics added.
2026-09-07 17:40:22,075 | INFO     | core.orchestrator | Monitoring cycle complete for PRD/100: overall=CRITICAL, metrics=26, errors=0
